Parcel ID,Location,Built,TotalValue,SalePrice,Beds,LotSize,LUC,NHood,SaleDate,BookPage,type,Baths,FinishedSize,description,SaleYear,Zipcode,latitude,longitude,zestimate
23-095-00-0,147 Sycamore St,1952,405300,325000,4,12741,101,240,12/29/2011,29505-323,Colonial  ,3,2112,ONE FAM,2011,2343,42.152856,-70.989895,471077
23-094-00-0,151 Sycamore St,1952,318100,100,3,15198,101,240,8/12/2004,21415-499,Colonial  ,2,1272,ONE FAM,2004,2343,42.152657,-70.98987,376874
23-093-00-0,155 Sycamore St,1952,321600,215000,3,18687,101,240,6/27/2011,28899-538,Cape  ,1,1344,ONE FAM,2011,2343,42.152446,-70.989851,365780
56-028-00-0,20 Woodlawn Ave,1910,305300,315000,3,25600,101,100,12/1/2015,33685-209,Old Style  ,1,1468,ONE FAM,2015,2343,42.123812,-71.010514,346319
23-090-00-0,167 Sycamore St,1952,302400,220000,3,30409,101,240,10/27/2014,32649-46,Cape  ,1,1512,ONE FAM,2014,2343,42.151786,-70.989762,342635
23-089-00-0,171 Sycamore St,1952,335300,143000,3,49022,101,240,3/24/1994,10443-532,Colonial  ,2,1572,ONE FAM,1994,2343,42.151492,-70.989724,397781
23-075-01-0,186 Sycamore St,1977,355900,279900,3,78408,101,240,3/28/2012,29802-151,Raised Ranch  ,2,1747,ONE FAM,2012,2343,42.15258,-70.987908,422257
23-075-02-0,192 Sycamore St,1997,393200,325000,3,82764,101,240,12/30/2002,17936-500,Raised Ranch  ,2,1938,ONE FAM,2002,2343,42.152267,-70.987863,452742
23-075-03-0,196 Sycamore St,1997,384000,331000,3,78408,101,240,10/31/2014,32663-218,Raised Ranch  ,2,1343,ONE FAM,2014,2343,42.151959,-70.987789,444709
40-242-00-0,52 Summit Rd,1950,182100,191700,4,5001,101,180,4/2/2009,26510-179,Ranch  ,1,1014,ONE FAM,2009,2343,42.136677,-71.019083,248658
23-076-00-0,204 Sycamore St,1959,345700,238000,3,18125,101,240,7/16/2010,180832-,Colonial  ,2,2162,ONE FAM,2010,2343,42.151405,-70.988438,420818
23-088-00-0,207 Sycamore St,1961,317200,1,4,19702,101,240,10/15/1998,12886-055,Cape  ,2,1404,ONE FAM,1998,2343,42.151237,-70.989154,394908
23-077-00-0,216 Sycamore St,1959,285700,17500,4,17999,101,240,10/9/1967,417-168,Colonial  ,1,1344,ONE FAM,1967,2343,42.151104,-70.988358,326463
23-087-00-0,219 Sycamore St,1961,381600,27500,5,19458,101,240,9/8/1972,4866-499,Raised Ranch  ,1,2405,ONE FAM,1972,2343,42.150865,-70.989015,450307
23-084-00-0,231 Sycamore St,1961,315700,100,3,19288,101,240,11/5/2009,27195-488,Ranch  ,1,1040,ONE FAM,2009,2343,42.15053,-70.988905,353689
23-083-00-0,243 Sycamore St,1960,285500,248000,3,20142,101,240,9/9/2016,34449-137,Ranch  ,1,1040,ONE FAM,2016,2343,42.150248,-70.988843,284992
23-079-00-0,248 Sycamore St,1959,345900,12500,6,17825,101,240,10/29/1959,323-107,Colonial  ,2,2300,ONE FAM,1959,2343,42.150664,-70.988178,423184
23-080-00-0,250 Sycamore St,1959,279600,152000,3,23091,101,240,6/25/1999,776-48,Ranch  ,1,1024,ONE FAM,1999,2343,42.15028,-70.988006,325043
29-033-02-0,254 Sycamore St,1966,383400,0,3,39701,101,240,5/9/1966,401-91,Raised Ranch  ,1,2770,ONE FAM,1966,2343,42.149898,-70.987462,462739
23-081-00-0,255 Sycamore St,1949,333800,100,3,31847,101,240,1/2/2002,807-118,Ranch  ,2,1652,ONE FAM,2002,2343,42.150005,-70.988937,386423
57-002-00-0,17 Howard Ave,1948,253500,263000,2,20160,101,100,1/26/2018,35764-487,Bungalow  ,1,1153,ONE FAM,2018,2343,42.120617,-71.019757,326026
29-033-01-0,258 Sycamore St,1880,312900,100,3,77537,101,240,10/22/2013,187677-,Old Style  ,1,1485,ONE FAM,2013,2343,42.149451,-70.987364,323450
29-015-00-0,259 Sycamore St,1944,239000,1,2,23862,101,240,4/30/1998,760-43,Ranch  ,1,752,ONE FAM,1998,2343,42.149557,-70.988471,269685
29-033-00-0,264 Sycamore St,1964,325300,1,3,26280,101,240,10/30/2009,179477-,Ranch  ,2,1232,ONE FAM,2009,2343,42.14897,-70.987324,375128
29-016-00-0,265 Sycamore St,1961,287500,123000,2,7649,101,240,12/31/1987,640-77,Cape  ,2,1488,ONE FAM,1987,2343,42.149269,-70.988359,350978
29-031-01-0,268 Sycamore St,1974,442700,420000,3,40014,101,240,2/25/2008,25532-178,Colonial  ,1,2872,ONE FAM,2008,2343,42.148566,-70.987249,530042
52-048-00-0,17 Linwood St,1910,254500,263400,3,9060,101,270,10/29/2015,33598-251,Bungalow  ,2,1856,ONE FAM,2015,2343,42.126703,-71.009205,333206
29-019-01-0,285 Sycamore St,1962,324100,1,4,20099,101,240,10/19/2001,804-180,Colonial  ,1,1568,ONE FAM,2001,2343,42.148653,-70.988155,393888
29-055-00-0,291 Sycamore St,2009,383100,327000,3,49693,101,240,1/22/2010,179891-,Raised Ranch  ,2,1872,ONE FAM,2010,2343,42.148096,-70.988844,457809
29-019-02-0,297 Sycamore St,1961,356200,1,2,20800,101,240,4/7/2009,178375-,Raised Ranch  ,1,2316,ONE FAM,2009,2343,42.148167,-70.988025,411814
29-019-03-0,299 Sycamore St,1960,322200,100,3,19711,101,240,4/12/2017,195466-,Split Level  ,1,1176,ONE FAM,2017,2343,42.14782,-70.987895,365059
15-002-04-0,38 Elm Ave,1951,316200,325000,4,86314,101,210,4/13/2017,35037-334,Cape  ,1,1611,ONE FAM,2017,2343,42.159047,-71.008671,360383
29-020-00-0,301 Sycamore St,1959,297400,256000,3,16884,101,240,2/27/2003,18314-583,Ranch  ,1,990,ONE FAM,2003,2343,42.147507,-70.987855,327841
29-021-00-0,305 Sycamore St,2001,358600,1,3,7279,101,240,6/14/2011,28864-518,Colonial  ,1,2100,ONE FAM,2011,2343,42.147295,-70.987658,425249
29-022-00-0,309 Sycamore St,1955,284000,0,3,7349,101,240,5/31/1956,3475-294,Cape  ,2,1344,ONE FAM,1956,2343,42.147092,-70.987593,346623
29-023-00-0,313 Sycamore St,1955,304300,95000,5,7392,101,240,6/27/1997,11871-677,Colonial  ,2,1792,ONE FAM,1997,2343,42.146842,-70.987514,402225
29-024-00-0,317 Sycamore St,1955,302400,1,4,7919,101,240,12/16/2016,34769-,Cape  ,2,1744,ONE FAM,2016,2343,42.146585,-70.987433,377865
29-025-00-0,321 Sycamore St,1955,328500,305900,4,7919,101,240,7/25/2003,19430-445,Cape  ,2,2184,ONE FAM,2003,2343,42.146362,-70.987361,429423
29-026-00-0,325 Sycamore St,1955,289400,100,3,7841,101,240,2/7/2005,22060-492,Cape  ,1,1452,ONE FAM,2005,2343,42.146139,-70.987287,351920
41-001-00-0,35 Hillsdale Rd,1956,256200,265000,1,7649,101,290,1/9/2018,35727-437,Cape  ,1,720,ONE FAM,2018,2343,42.139603,-71.012143,278432
29-030-01-0,333 Sycamore St,1998,337600,180000,3,7671,101,240,10/27/1998,12915-003,Colonial  ,1,1512,ONE FAM,1998,2343,42.145708,-70.987027,391637
17-065-00-0,40 Sycamore St,1966,332700,10,3,18848,101,240,12/11/2000,794-161,Raised Ranch  ,2,1848,ONE FAM,2000,2343,42.157085,-70.990849,431352
17-021-00-0,41 Sycamore St,1965,336300,127800,3,32422,101,240,6/1/1993,699-80,Raised Ranch  ,1,1620,ONE FAM,1993,2343,42.157281,-70.991779,414467
17-064-00-0,50 Sycamore St,1954,289400,125000,3,8346,101,240,8/7/1990,667-62,Colonial  ,1,1400,ONE FAM,1990,2343,42.156773,-70.990794,355561
17-036-00-0,55 Sycamore St,1952,322600,245000,3,5811,101,240,1/31/2013,186078-,Colonial  ,2,1720,ONE FAM,2013,2343,42.156714,-70.991318,423145
17-037-00-0,59 Sycamore St,1952,273600,265000,3,5968,101,240,2/25/2010,180041-,Cape  ,2,1344,ONE FAM,2010,2343,42.156515,-70.991241,341706
17-062-61-1,62 Sycamore St,1966,320200,274900,3,18239,101,240,7/17/2012,30200-115,Raised Ranch  ,1,1429,ONE FAM,2012,2343,42.15615,-70.990443,380343
